Configuração completa da Sala: 605 - Tempo de Processamento: 3 minutes, 16 seconds
Configuração completa da Sala: 599 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 600 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 601 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 602 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 597 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 579 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 891 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 444 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 430 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 432 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 440 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 434 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 436 - Tempo de Processamento: 3 minutes, 15 seconds
Configuração completa da Sala: 443 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 437 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 438 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 431 - Tempo de Processamento: 3 minutes, 15 seconds
Configuração completa da Sala: 441 - Tempo de Processamento: 3 minutes, 15 seconds
Configuração completa da Sala: 433 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 435 - Tempo de Processamento: 3 minutes, 16 seconds
Configuração completa da Sala: 439 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 423 - Tempo de Processamento: 3 minutes, 15 seconds
Configuração completa da Sala: 423 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 425 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 427 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 426 - Tempo de Processamento: 3 minutes, 15 seconds
Configuração completa da Sala: 580 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 859 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 577 - Tempo de Processamento: 3 minutes, 15 seconds
Configuração completa da Sala: 578 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 579 - Tempo de Processamento: 3 minutes, 15 seconds
Configuração completa da Sala: 582 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 660 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 584 - Tempo de Processamento: 3 minutes, 14 seconds
